S/N,Name,Email Address,Lesson Summary,Quiz Summary,Assignment Summary,Grade Point Average,Intermediate class Eligibility
39,644eb5f3fc13ae246d842fad,0,0,0.0,77,45.32,true
40,644eb5f3fc13ae246d842fae,0,0,0.0,40,81.01,true
41,644eb5f3fc13ae246d842faf,0,0,0.0,97,7.0,false
42,644eb5f3fc13ae246d842fb0,0,0,0.0,98,80.99,false
43,644eb5f3fc13ae246d842fb1,0,0,0.0,1,88.31,false
44,644eb5f3fc13ae246d842fb2,0,0,0.0,60,37.41,false
45,644eb5f3fc13ae246d842fb3,0,0,0.0,93,80.98,false
46,644eb5f3fc13ae246d842fb4,0,0,0.0,3,60.15,false
47,644eb5f3fc13ae246d842fb5,0,0,0.0,39,38.46,false
48,644eb5f3fc13ae246d842fb6,0,0,0.0,86,38.23,false
49,644eb5f3fc13ae246d842fb7,0,0,0.0,25,51.6,false
50,644eb5f3fc13ae246d842fb8,0,0,0.0,18,45.05,true
51,644eb5f3fc13ae246d842fb9,0,0,0.0,82,79.33,true
52,644eb5f3fc13ae246d842fba,0,0,0.0,6,96.66,true
53,644eb5f3fc13ae246d842fbb,0,0,0.0,36,94.18,false
54,644eb5f3fc13ae246d842fbc,0,0,0.0,50,53.1,false
55,644eb5f3fc13ae246d842fbd,0,0,0.0,16,50.19,true
56,644eb5f3fc13ae246d842fbe,0,0,0.0,67,63.07,false
57,644eb5f3fc13ae246d842fbf,0,0,0.0,64,27.64,false
58,644eb5f3fc13ae246d842fc0,0,0,0.0,45,48.82,true
59,644eb5f3fc13ae246d842fc1,0,0,0.0,48,84.17,false
60,644eb5f3fc13ae246d842fc2,0,0,0.0,61,8.98,true
61,644eb5f3fc13ae246d842fc3,0,0,0.0,94,34.09,true
62,644eb5f3fc13ae246d842fc4,0,0,0.0,35,33.54,true
63,644eb5f3fc13ae246d842fc5,0,0,0.0,28,40.01,true
64,644eb5f3fc13ae246d842fc6,0,0,0.0,33,15.31,false
65,644eb5f3fc13ae246d842fc7,0,0,0.0,90,39.51,false
66,644eb5f3fc13ae246d842fc8,0,0,0.0,35,10.61,false
67,644eb5f3fc13ae246d842fc9,0,0,0.0,45,80.03,true
68,644eb5f3fc13ae246d842fca,0,0,0.0,12,70.75,true
69,644eb5f3fc13ae246d842fcb,0,0,0.0,21,78.98,true
70,644eb5f3fc13ae246d842fcc,0,0,0.0,95,45.94,true
71,644eb5f3fc13ae246d842fcd,0,0,0.0,19,80.82,false
72,644eb5f3fc13ae246d842fce,0,0,0.0,16,5.41,true
73,644eb5f3fc13ae246d842fcf,0,0,0.0,81,2.73,true
74,644eb5f3fc13ae246d842fd0,0,0,0.0,29,24.86,true
75,644eb5f3fc13ae246d842fd1,0,0,0.0,47,43.02,false
76,644eb5f3fc13ae246d842fd2,0,0,0.0,14,95.47,true
77,644eb5f3fc13ae246d842fd3,0,0,0.0,4,96.57,false
78,644eb5f3fc13ae246d842fd4,0,0,0.0,92,54.1,false
79,644eb5f3fc13ae246d842fd5,0,0,0.0,12,54.93,false
80,644eb5f3fc13ae246d842fd6,0,0,0.0,99,64.61,false
81,644eb5f3fc13ae246d842fd7,0,0,0.0,10,43.6,true
82,644eb5f3fc13ae246d842fd8,0,0,0.0,85,13.49,true
83,644eb5f3fc13ae246d842fd9,0,0,0.0,9,41.89,false
84,644eb5f3fc13ae246d842fda,0,0,0.0,76,27.67,true
85,644eb5f3fc13ae246d842fdb,0,0,0.0,78,12.53,true
86,644eb5f3fc13ae246d842fdc,0,0,0.0,41,32.45,false
87,644eb5f3fc13ae246d842fdd,0,0,0.0,28,88.62,false
88,644eb5f3fc13ae246d842fde,0,0,0.0,98,13.17,true
89,644eb5f3fc13ae246d842fdf,0,0,0.0,23,24.84,false
90,644eb5f3fc13ae246d842fe0,0,0,0.0,85,75.39,false
91,644eb5f3fc13ae246d842fe1,0,0,0.0,56,20.42,true
92,644eb5f3fc13ae246d842fe2,0,0,0.0,32,92.41,true
93,644eb5f3fc13ae246d842fe3,0,0,0.0,74,24.61,true
94,644eb5f3fc13ae246d842fe4,0,0,0.0,51,40.2,false
95,644eb5f3fc13ae246d842fe5,0,0,0.0,53,7.14,true
96,644eb5f3fc13ae246d842fe6,0,0,0.0,66,79.45,false
97,644eb5f3fc13ae246d842fe7,0,0,0.0,2,76.95,false
98,644eb5f3fc13ae246d842fe8,0,0,0.0,62,54.44,true
99,644eb5f3fc13ae246d842fe9,0,0,0.0,61,79.19,false
100,644eb5f3fc13ae246d842fea,0,0,0.0,23,17.23,true
101,644eb5f3fc13ae246d842feb,0,0,0.0,6,2.55,true
102,644eb5f3fc13ae246d842fec,0,0,0.0,27,67.23,false
103,644eb5f3fc13ae246d842fed,0,0,0.0,8,55.7,true
104,644eb5f3fc13ae246d842fee,0,0,0.0,81,51.87,true
105,644eb5f3fc13ae246d842fef,0,0,0.0,82,1.12,false
106,644eb5f3fc13ae246d842ff0,0,0,0.0,47,33.19,true
107,644eb5f3fc13ae246d842ff1,0,0,0.0,28,22.82,true
108,644eb5f3fc13ae246d842ff2,0,0,0.0,58,84.94,true
109,644eb5f3fc13ae246d842ff3,0,0,0.0,2,96.45,true
110,644eb5f3fc13ae246d842ff4,0,0,0.0,56,37.54,false
111,644eb5f3fc13ae246d842ff5,0,0,0.0,71,58.83,false
112,644eb5f3fc13ae246d842ff6,0,0,0.0,95,65.64,true
113,644eb5f3fc13ae246d842ff7,0,0,0.0,31,57.47,false
114,644eb5f3fc13ae246d842ff8,0,0,0.0,0,14.3,false
115,644eb5f3fc13ae246d842ff9,0,0,0.0,22,82.24,true
116,644eb5f3fc13ae246d842ffa,0,0,0.0,94,10.87,true
117,644eb5f3fc13ae246d842ffb,0,0,0.0,69,57.61,true
118,644eb5f3fc13ae246d842ffc,0,0,0.0,99,54.29,true
119,644eb5f3fc13ae246d842ffd,0,0,0.0,80,69.64,false
120,644eb5f3fc13ae246d842ffe,0,0,0.0,25,2.27,false
121,644eb5f3fc13ae246d842fff,0,0,0.0,57,56.3,true
122,644eb5f3fc13ae246d843000,0,0,0.0,63,2.21,true
123,644eb5f3fc13ae246d843001,0,0,0.0,98,82.94,true
124,644eb5f3fc13ae246d843002,0,0,0.0,1,67.11,false
125,644eb5f3fc13ae246d843003,0,0,0.0,68,78.14,false
126,644eb5f3fc13ae246d843004,0,0,0.0,30,24.77,false
127,644eb5f3fc13ae246d843005,0,0,0.0,15,27.54,true
128,644eb5f3fc13ae246d843006,0,0,0.0,61,51.06,true
129,644eb5f3fc13ae246d843007,0,0,0.0,8,11.97,true
130,644eb5f3fc13ae246d843008,0,0,0.0,69,31.83,false
131,644eb5f3fc13ae246d843009,0,0,0.0,32,14.59,true
132,644eb5f3fc13ae246d84300a,0,0,0.0,62,70.67,true
133,644eb5f3fc13ae246d84300b,0,0,0.0,78,24.83,true
134,644eb5f3fc13ae246d84300c,0,0,0.0,64,52.77,false
135,644eb5f3fc13ae246d84300d,0,0,0.0,79,60.69,true
136,644eb5f3fc13ae246d84300e,0,0,0.0,64,80.05,true
137,644eb5f3fc13ae246d84300f,0,0,0.0,49,14.47,true
138,644eb5f3fc13ae246d843010,0,0,0.0,64,36.92,true
139,644eb5f3fc13ae246d843011,0,0,0.0,89,49.68,true
140,644eb5f3fc13ae246d843012,0,0,0.0,45,58.69,false
141,644eb5f3fc13ae246d843013,0,0,0.0,57,64.54,true
142,644eb5f3fc13ae246d843014,0,0,0.0,54,6.09,false
143,644eb5f3fc13ae246d843015,0,0,0.0,7,6.39,false
144,644eb5f3fc13ae246d843016,0,0,0.0,39,84.74,false
145,644eb5f3fc13ae246d843017,0,0,0.0,61,91.92,false
146,644eb5f3fc13ae246d843018,0,0,0.0,81,47.36,false
147,644eb5f3fc13ae246d843019,0,0,0.0,45,6.43,true
148,644eb5f3fc13ae246d84301a,0,0,0.0,95,4.29,true
149,644eb5f3fc13ae246d84301b,0,0,0.0,9,8.88,false
150,644eb5f3fc13ae246d84301c,0,0,0.0,78,43.57,false
151,644eb5f3fc13ae246d84301d,0,0,0.0,39,58.81,false
152,644eb5f3fc13ae246d84301e,0,0,0.0,34,18.69,false
153,644eb5f3fc13ae246d84301f,0,0,0.0,33,13.05,false
154,644eb5f3fc13ae246d843020,0,0,0.0,99,11.99,true
155,644eb5f3fc13ae246d843021,0,0,0.0,62,96.99,false
156,644eb5f3fc13ae246d843022,0,0,0.0,79,18.97,true
157,644eb5f3fc13ae246d843023,0,0,0.0,35,11.24,false
158,644eb5f3fc13ae246d843024,0,0,0.0,24,47.12,false
159,644eb5f3fc13ae246d843025,0,0,0.0,87,94.61,false
160,644eb5f3fc13ae246d843026,0,0,0.0,47,39.19,false
161,644eb5f3fc13ae246d843027,0,0,0.0,82,5.05,true
162,644eb5f3fc13ae246d843028,0,0,0.0,18,96.55,true
163,644eb5f3fc13ae246d843029,0,0,0.0,83,33.47,true
164,644eb5f3fc13ae246d84302a,0,0,0.0,17,83.99,true
165,644eb5f3fc13ae246d84302b,0,0,0.0,25,6.7,false
166,644eb5f3fc13ae246d84302c,0,0,0.0,66,89.11,false
167,644eb5f3fc13ae246d84302d,0,0,0.0,59,92.72,true
168,644eb5f3fc13ae246d84302e,0,0,0.0,72,80.95,false
169,644eb5f3fc13ae246d84302f,0,0,0.0,71,48.36,false
170,644eb5f3fc13ae246d843030,0,0,0.0,95,93.42,true
171,644eb5f3fc13ae246d843031,0,0,0.0,6,80.58,true
172,644eb5f3fc13ae246d843032,0,0,0.0,96,22.0,false
173,644eb5f3fc13ae246d843033,0,0,0.0,54,54.87,true
174,644eb5f3fc13ae246d843034,0,0,0.0,68,38.75,true
175,644eb5f3fc13ae246d843035,0,0,0.0,9,69.8,false
176,644eb5f3fc13ae246d843036,0,0,0.0,94,35.33,true
177,644eb5f3fc13ae246d843037,0,0,0.0,16,61.91,false
178,644eb5f3fc13ae246d843038,0,0,0.0,54,6.95,false
179,644eb5f3fc13ae246d843039,0,0,0.0,58,6.45,true
180,644eb5f3fc13ae246d84303a,0,0,0.0,30,79.8,false
181,644eb5f3fc13ae246d84303b,0,0,0.0,81,1.88,true
182,644eb5f3fc13ae246d84303c,0,0,0.0,76,83.83,true
183,644eb5f3fc13ae246d84303d,0,0,0.0,38,26.96,true
184,644eb5f3fc13ae246d84303e,0,0,0.0,53,45.95,true
185,644eb5f3fc13ae246d84303f,0,0,0.0,16,90.44,true
186,644eb5f3fc13ae246d843040,0,0,0.0,21,29.09,true
187,644eb5f3fc13ae246d843041,0,0,0.0,69,98.76,false
188,644eb5f3fc13ae246d843042,0,0,0.0,21,95.73,true
189,644eb5f3fc13ae246d843043,0,0,0.0,12,64.88,false
190,644eb5f3fc13ae246d843044,0,0,0.0,84,32.64,false
191,644eb5f3fc13ae246d843045,0,0,0.0,34,22.27,false
192,644eb5f3fc13ae246d843046,0,0,0.0,10,6.32,true
193,644eb5f3fc13ae246d843047,0,0,0.0,86,82.05,false
194,644eb5f3fc13ae246d843048,0,0,0.0,55,77.91,false
195,644eb5f3fc13ae246d843049,0,0,0.0,44,22.19,true
196,644eb5f3fc13ae246d84304a,0,0,0.0,69,78.4,false
197,644eb5f3fc13ae246d84304b,0,0,0.0,62,46.4,false
198,644eb5f3fc13ae246d84304c,0,0,0.0,50,15.42,false
199,644eb5f3fc13ae246d84304d,0,0,0.0,59,61.56,false
200,644eb5f3fc13ae246d84304e,0,0,0.0,88,51.59,false
201,644eb5f3fc13ae246d84304f,0,0,0.0,38,7.91,true
202,644eb5f3fc13ae246d843050,0,0,0.0,34,42.92,true
203,644eb5f3fc13ae246d843051,0,0,0.0,52,16.94,true
204,644eb5f3fc13ae246d843052,0,0,0.0,68,30.47,false
205,644eb5f3fc13ae246d843053,0,0,0.0,56,79.99,false
206,644eb5f3fc13ae246d843054,0,0,0.0,40,14.38,true
207,644eb5f3fc13ae246d843055,0,0,0.0,36,14.37,true
208,644eb5f3fc13ae246d843056,0,0,0.0,36,42.61,false
209,644eb5f3fc13ae246d843057,0,0,0.0,52,18.33,true
210,644eb5f3fc13ae246d843058,0,0,0.0,2,59.52,true
211,644eb5f3fc13ae246d843059,0,0,0.0,61,56.35,true
212,644eb5f3fc13ae246d84305a,0,0,0.0,59,76.89,true
213,644eb5f3fc13ae246d84305b,0,0,0.0,73,24.72,false
214,644eb5f3fc13ae246d84305c,0,0,0.0,71,97.72,false
215,644eb5f3fc13ae246d84305d,0,0,0.0,65,37.09,true
216,644eb5f3fc13ae246d84305e,0,0,0.0,100,88.66,true
217,644eb5f3fc13ae246d84305f,0,0,0.0,20,56.62,false
218,644eb5f3fc13ae246d843060,0,0,0.0,59,42.66,true
219,644eb5f3fc13ae246d843061,0,0,0.0,79,98.18,false
220,644eb5f3fc13ae246d843062,0,0,0.0,19,88.0,false
221,644eb5f3fc13ae246d843063,0,0,0.0,70,69.89,false
222,644eb5f3fc13ae246d843064,0,0,0.0,22,48.69,true
223,644eb5f3fc13ae246d843065,0,0,0.0,48,92.69,true
224,644eb5f3fc13ae246d843066,0,0,0.0,81,4.32,true
225,644eb5f3fc13ae246d843067,0,0,0.0,26,33.94,true
226,644eb5f3fc13ae246d843068,0,0,0.0,15,2.63,true
227,644eb5f3fc13ae246d843069,0,0,0.0,53,82.59,false
228,644eb5f3fc13ae246d84306a,0,0,0.0,2,70.74,true
229,644eb5f3fc13ae246d84306b,0,0,0.0,64,80.56,true
230,644eb5f3fc13ae246d84306c,0,0,0.0,24,32.15,true
231,644eb5f3fc13ae246d84306d,0,0,0.0,25,86.96,false
232,644eb5f3fc13ae246d84306e,0,0,0.0,9,92.81,true
233,644eb5f3fc13ae246d84306f,0,0,0.0,70,83.23,true
234,644eb5f3fc13ae246d843070,0,0,0.0,15,88.15,true
235,644eb5f3fc13ae246d843071,0,0,0.0,49,34.03,false
236,644eb5f3fc13ae246d843072,0,0,0.0,52,41.42,true
237,644eb5f3fc13ae246d843073,0,0,0.0,53,31.92,false
238,644eb5f3fc13ae246d843074,0,0,0.0,5,41.73,false
239,644eb5f3fc13ae246d843075,0,0,0.0,14,84.49,false
240,644eb5f3fc13ae246d843076,0,0,0.0,58,99.62,true
241,644eb5f3fc13ae246d843077,0,0,0.0,36,81.28,false
242,644eb5f3fc13ae246d843078,0,0,0.0,38,95.23,false
243,644eb5f3fc13ae246d843079,0,0,0.0,41,25.87,false
244,644eb5f3fc13ae246d84307a,0,0,0.0,75,63.16,true
245,644eb5f3fc13ae246d84307b,0,0,0.0,25,83.75,true
246,644eb5f3fc13ae246d84307c,0,0,0.0,11,98.66,false
247,644eb5f3fc13ae246d84307d,0,0,0.0,10,92.03,true
248,644eb5f3fc13ae246d84307e,0,0,0.0,77,87.78,true
249,644eb5f3fc13ae246d84307f,0,0,0.0,30,33.73,true
250,644eb5f3fc13ae246d843080,0,0,0.0,95,90.55,false
251,644eb5f3fc13ae246d843081,0,0,0.0,41,81.2,true
252,644eb5f3fc13ae246d843082,0,0,0.0,62,67.84,false
253,644eb5f3fc13ae246d843083,0,0,0.0,14,97.83,false
254,644eb5f3fc13ae246d843084,0,0,0.0,53,81.8,true
255,644eb5f3fc13ae246d843085,0,0,0.0,97,81.58,false
256,644eb5f3fc13ae246d843086,0,0,0.0,69,6.68,true
257,644eb5f3fc13ae246d843087,0,0,0.0,45,42.02,true
258,644eb5f3fc13ae246d843088,0,0,0.0,63,75.62,false
259,644eb5f3fc13ae246d843089,0,0,0.0,88,52.25,true
260,644eb5f3fc13ae246d84308a,0,0,0.0,36,11.87,true
261,644eb5f3fc13ae246d84308b,0,0,0.0,80,91.2,false
262,644eb5f3fc13ae246d84308c,0,0,0.0,63,14.59,false
263,644eb5f3fc13ae246d84308d,0,0,0.0,15,84.17,true
264,644eb5f3fc13ae246d84308e,0,0,0.0,81,14.0,false
265,644eb5f3fc13ae246d84308f,0,0,0.0,83,96.6,false
266,644eb5f3fc13ae246d843090,0,0,0.0,84,35.1,false
267,644eb5f3fc13ae246d843091,0,0,0.0,90,43.71,false
268,644eb5f3fc13ae246d843092,0,0,0.0,72,62.02,false
269,644eb5f3fc13ae246d843093,0,0,0.0,88,62.38,false
270,644eb5f3fc13ae246d843094,0,0,0.0,30,49.65,false
271,644eb5f3fc13ae246d843095,0,0,0.0,35,73.25,false
272,644eb5f3fc13ae246d843096,0,0,0.0,48,46.09,true
273,644eb5f3fc13ae246d843097,0,0,0.0,24,24.66,true
274,644eb5f3fc13ae246d843098,0,0,0.0,47,95.57,false
275,644eb5f3fc13ae246d843099,0,0,0.0,11,90.96,true
276,644eb5f3fc13ae246d84309a,0,0,0.0,90,15.1,false
277,644eb5f3fc13ae246d84309b,0,0,0.0,54,48.34,true
278,644eb5f3fc13ae246d84309c,0,0,0.0,23,55.21,true
279,644eb5f3fc13ae246d84309d,0,0,0.0,82,79.38,true
280,644eb5f3fc13ae246d84309e,0,0,0.0,18,83.34,true
281,644eb5f3fc13ae246d84309f,0,0,0.0,90,12.08,true
282,644eb5f3fc13ae246d8430a0,0,0,0.0,6,85.93,false
283,644eb5f3fc13ae246d8430a1,0,0,0.0,36,87.88,false
284,644eb5f3fc13ae246d8430a2,0,0,0.0,46,63.98,true
285,644eb5f3fc13ae246d8430a3,0,0,0.0,28,85.67,true
286,644eb5f3fc13ae246d8430a4,0,0,0.0,60,76.76,false
287,644eb5f3fc13ae246d8430a5,0,0,0.0,61,56.65,false
288,644eb5f3fc13ae246d8430a6,0,0,0.0,93,1.64,false
289,644eb5f3fc13ae246d8430a7,0,0,0.0,71,53.33,true
290,644eb5f3fc13ae246d8430a8,0,0,0.0,90,79.17,true
291,644eb5f3fc13ae246d8430a9,0,0,0.0,96,96.92,false
292,644eb5f3fc13ae246d8430aa,0,0,0.0,44,40.12,true
293,644eb5f3fc13ae246d8430ab,0,0,0.0,80,46.77,true
294,644eb5f3fc13ae246d8430ac,0,0,0.0,9,75.48,false
295,644eb5f3fc13ae246d8430ad,0,0,0.0,91,99.37,false
296,644eb5f3fc13ae246d8430ae,0,0,0.0,15,56.62,true
297,644eb5f3fc13ae246d8430af,0,0,0.0,51,63.88,false
298,644eb5f3fc13ae246d8430b0,0,0,0.0,44,85.04,false
299,644eb5f3fc13ae246d8430b1,0,0,0.0,11,22.93,false
300,644eb5f3fc13ae246d8430b2,0,0,0.0,44,41.91,false
301,644eb5f3fc13ae246d8430b3,0,0,0.0,61,50.59,true
302,644eb5f3fc13ae246d8430b4,0,0,0.0,3,77.55,true
303,644eb5f3fc13ae246d8430b5,0,0,0.0,52,75.68,false
304,644eb5f3fc13ae246d8430b6,0,0,0.0,24,64.89,true
305,644eb5f3fc13ae246d8430b7,0,0,0.0,97,41.37,true
306,644eb5f3fc13ae246d8430b8,0,0,0.0,59,78.01,false
307,644eb5f3fc13ae246d8430b9,0,0,0.0,35,27.7,false
308,644eb5f3fc13ae246d8430ba,0,0,0.0,4,28.33,true
309,644eb5f3fc13ae246d8430bb,0,0,0.0,51,30.06,true
310,644eb5f3fc13ae246d8430bc,0,0,0.0,43,62.84,false
311,644eb5f3fc13ae246d8430bd,0,0,0.0,94,14.17,false
312,644eb5f3fc13ae246d8430be,0,0,0.0,86,79.61,false
313,644eb5f3fc13ae246d8430bf,0,0,0.0,99,64.95,true
314,644eb5f3fc13ae246d8430c0,0,0,0.0,80,99.0,false
315,644eb5f3fc13ae246d8430c1,0,0,0.0,43,21.4,true
316,644eb5f3fc13ae246d8430c2,0,0,0.0,47,95.15,true
317,644eb5f3fc13ae246d8430c3,0,0,0.0,69,22.2,false
318,644eb5f3fc13ae246d8430c4,0,0,0.0,58,58.76,true
319,644eb5f3fc13ae246d8430c5,0,0,0.0,49,53.73,false
320,644eb5f3fc13ae246d8430c6,0,0,0.0,67,19.66,false
321,644eb5f3fc13ae246d8430c7,0,0,0.0,16,44.28,true
322,644eb5f3fc13ae246d8430c8,0,0,0.0,51,24.09,false
323,644eb5f3fc13ae246d8430c9,0,0,0.0,72,91.59,true
324,644eb5f3fc13ae246d8430ca,0,0,0.0,89,39.17,false
325,644eb5f3fc13ae246d8430cb,0,0,0.0,83,52.99,false
326,644eb5f3fc13ae246d8430cc,0,0,0.0,8,26.0,false
327,644eb5f3fc13ae246d8430cd,0,0,0.0,67,71.67,false
328,644eb5f3fc13ae246d8430ce,0,0,0.0,53,4.49,true
329,644eb5f3fc13ae246d8430cf,0,0,0.0,46,10.2,true
330,644eb5f3fc13ae246d8430d0,0,0,0.0,63,5.6,true
331,644eb5f3fc13ae246d8430d1,0,0,0.0,55,69.09,false
332,644eb5f3fc13ae246d8430d2,0,0,0.0,38,13.23,false
333,644eb5f3fc13ae246d8430d3,0,0,0.0,46,66.44,true
334,644eb5f3fc13ae246d8430d4,0,0,0.0,57,4.27,false
335,644eb5f3fc13ae246d8430d5,0,0,0.0,61,57.28,false
336,644eb5f3fc13ae246d8430d6,0,0,0.0,59,89.35,false
337,644eb5f3fc13ae246d8430d7,0,0,0.0,67,67.79,true
338,644eb5f3fc13ae246d8430d8,0,0,0.0,84,72.49,true
339,644eb5f3fc13ae246d8430d9,0,0,0.0,81,66.86,true
340,644eb5f3fc13ae246d8430da,0,0,0.0,24,37.12,false
341,644eb5f3fc13ae246d8430db,0,0,0.0,87,71.28,false
342,644eb5f3fc13ae246d8430dc,0,0,0.0,78,33.22,true
343,644eb5f3fc13ae246d8430dd,0,0,0.0,36,33.02,false
344,644eb5f3fc13ae246d8430de,0,0,0.0,33,11.67,true
345,644eb5f3fc13ae246d8430df,0,0,0.0,47,52.1,true
346,644eb5f3fc13ae246d8430e0,0,0,0.0,48,52.7,true
347,644eb5f3fc13ae246d8430e1,0,0,0.0,98,81.82,false
348,644eb5f3fc13ae246d8430e2,0,0,0.0,49,37.16,false
349,644eb5f3fc13ae246d8430e3,0,0,0.0,98,38.07,false
350,644eb5f3fc13ae246d8430e4,0,0,0.0,20,35.28,false
351,644eb5f3fc13ae246d8430e5,0,0,0.0,61,61.82,false
352,644eb5f3fc13ae246d8430e6,0,0,0.0,62,82.9,false
353,644eb5f3fc13ae246d8430e7,0,0,0.0,55,98.56,true
354,644eb5f3fc13ae246d8430e8,0,0,0.0,22,53.24,false
355,644eb5f3fc13ae246d8430e9,0,0,0.0,90,40.35,false
356,644eb5f3fc13ae246d8430ea,0,0,0.0,82,32.07,false
357,644eb5f3fc13ae246d8430eb,0,0,0.0,21,54.16,true
358,644eb5f3fc13ae246d8430ec,0,0,0.0,12,95.62,false
359,644eb5f3fc13ae246d8430ed,0,0,0.0,34,19.73,true
360,644eb5f3fc13ae246d8430ee,0,0,0.0,34,89.3,false
361,644eb5f3fc13ae246d8430ef,0,0,0.0,1,6.28,true
362,644eb5f3fc13ae246d8430f0,0,0,0.0,77,78.29,false
363,644eb5f3fc13ae246d8430f1,0,0,0.0,26,59.09,false
364,644eb5f3fc13ae246d8430f2,0,0,0.0,74,89.1,false
365,644eb5f3fc13ae246d8430f3,0,0,0.0,29,65.33,true
366,644eb5f3fc13ae246d8430f4,0,0,0.0,91,7.19,true
367,644eb5f3fc13ae246d8430f5,0,0,0.0,20,99.86,false
368,644eb5f3fc13ae246d8430f6,0,0,0.0,57,90.06,false
369,644eb5f3fc13ae246d8430f7,0,0,0.0,67,98.74,true
370,644eb5f3fc13ae246d8430f8,0,0,0.0,35,34.88,false
371,644eb5f3fc13ae246d8430f9,0,0,0.0,39,68.19,false
372,644eb5f3fc13ae246d8430fa,0,0,0.0,65,78.75,true
373,644eb5f3fc13ae246d8430fb,0,0,0.0,40,19.29,true
374,644eb5f3fc13ae246d8430fc,0,0,0.0,66,73.79,true
375,644eb5f3fc13ae246d8430fd,0,0,0.0,20,1.76,true
376,644eb5f3fc13ae246d8430fe,0,0,0.0,50,32.99,false
377,644eb5f3fc13ae246d8430ff,0,0,0.0,66,91.98,false
378,644eb5f3fc13ae246d843100,0,0,0.0,92,22.64,true
379,644eb5f3fc13ae246d843101,0,0,0.0,2,3.46,false
380,644eb5f3fc13ae246d843102,0,0,0.0,30,46.21,false
381,644eb5f3fc13ae246d843103,0,0,0.0,42,28.1,true
382,644eb5f3fc13ae246d843104,0,0,0.0,84,64.43,false
383,644eb5f3fc13ae246d843105,0,0,0.0,99,7.39,false
384,644eb5f3fc13ae246d843106,0,0,0.0,36,50.84,false
385,644eb5f3fc13ae246d843107,0,0,0.0,72,40.93,false
386,644eb5f3fc13ae246d843108,0,0,0.0,76,33.81,true
387,644eb5f3fc13ae246d843109,0,0,0.0,56,14.66,true
388,644eb5f3fc13ae246d84310a,0,0,0.0,95,18.89,false
389,644eb5f3fc13ae246d84310b,0,0,0.0,60,95.54,true
390,644eb5f3fc13ae246d84310c,0,0,0.0,24,25.03,false
391,644eb5f3fc13ae246d84310d,0,0,0.0,75,52.42,false
392,644eb5f3fc13ae246d84310e,0,0,0.0,87,67.94,true
393,644eb5f3fc13ae246d84310f,0,0,0.0,21,80.31,true
394,644eb5f3fc13ae246d843110,0,0,0.0,68,59.69,false
